wt% EtOH,mol% EtOH,Desntiy (g/cm^3),Literature RI,Trial 1,Trial 2,Trial 3,Measured RI
0,0,0.998,1.3328,1.3326,1.3326,1.3326,1.3326
0.5,0.2,0.9973,1.3333,,,,
1,0.39,0.9963,1.3336,,,,
2,0.79,0.9945,1.3342,1.3348,1.3345,1.3345,1.3346
3,1.2,0.9927,1.3348,,,,
4,1.6,0.991,1.3354,1.3352,1.3352,1.3352,1.3352
5,2.02,0.9893,1.336,1.3357,1.3357,1.3357,1.3357
6,2.44,0.9878,1.3367,1.3365,1.3364,1.3364,1.3364
7,2.86,0.9862,1.3374,,,,
8,3.29,0.9847,1.3381,1.3374,1.3374,1.3374,1.3374
9,3.72,0.9833,1.3388,,,,
10,4.17,0.9819,1.3395,1.3383,1.3384,1.3383,1.3383
12,5.06,0.9792,1.341,,,,
14,5.99,0.9765,1.3425,,,,
16,6.93,0.9739,1.344,,,,
18,7.91,0.9713,1.3455,,,,
20,8.91,0.9687,1.3469,1.3453,1.3454,1.3454,1.3454
22,9.94,0.966,1.3484,,,,
24,10.99,0.9632,1.3498,,,,
26,12.08,0.9602,1.3511,,,,
28,13.2,0.9571,1.3524,,,,
30,14.36,0.9539,1.3535,1.3518,1.3518,1.3518,1.3518
32,15.55,0.9504,1.3546,,,,
34,16.77,0.9468,1.3557,,,,
36,18.03,0.9431,1.3566,,,,
38,19.34,0.9392,1.3575,,,,
40,20.68,0.9352,1.3583,1.3568,1.3571,1.3569,1.3569
42,22.07,0.9311,1.359,,,,
44,23.51,0.9269,1.3598,,,,
46,24.99,0.9227,1.3604,,,,
48,26.53,0.9183,1.361,,,,
50,28.12,0.9139,1.3616,1.3595,1.3596,1.3596,1.3596
60,36.98,0.8911,1.3638,1.3617,1.3616,1.3617,1.3617
70,47.72,0.8676,1.3652,1.363,1.363,1.3629,1.3630
80,61.01,0.8436,1.3658,1.3635,1.3635,1.3635,1.3635
90,77.88,0.818,1.365,1.3628,1.3629,1.3628,1.3628
92,81.81,0.8125,1.3646,,,,
94,85.97,0.807,1.3642,,,,
96,90.37,0.8013,1.3636,,,,
98,95.04,1.363,1.273,,,,
100,100,1.3614,1.203,,,,
